Subject,Camera,Lighting,Colors,Resolution,Website,Style,Artists,Custom tags
Woman,Telescope lens,strobe,violet,unreal engine,pixiv,steampunk,,standing
Man,Ultra wide angle lens,sunlight,white,sharp focus,pixabay,pop-art,,sitting
Animal,Wide angle lens,ultraviolet,yellow,8k,artstation,Modernist,,
Dog,Satellite imagery,nuclear waste glow,teal,vray,,art nouveau,,
Cat,Super resolution microscopy,quantum dot display,turquoise,4k,,Portrait,,
,Telephoto lens,spotlight,vermillion,octane render,,Digital painting,,
,Miniature faking,natural lighting,RGB,intricate details,,Concept art,,
,Panorama,neon lamp,red,hyperrealistic,,Ultra realistic illustration,,
,Pinhole lens,nightclub lighting,silver,ultra detailed,,Underwater,,
,Macro lens,glowstick,orange,vibrant details,,cyborg,,
,magnification,lava glow,pastel,3d render,,robotic,,
,microscopy,moonlight,pink,complex,,robotic parts,,
,360 Panorama,fluorescent,neon purple,,,cyberpunk,,
,DSLR,glowing,neon red,,,biopunk,,
,Electron Microscope,glowing radioactively,neon yellow,,,cybernetic,,
,300mm,edison bulb,neon blue,,,anime,,
,canon m50,electric arc,neon green,,,,,
,100mm,Fire,neon orange,,,,,
,,Crepusclar rays,matte black,,,,,
,,direct sunlight,mint,,,,,
,,dusk,navy blue,,,,,
,,blinding light,indigo,,,,,
,,candlelight,lavendar,,,,,
,,concert lighting,magneta,,,,,
,,Accent lighting,grayscale,,,,,
,,Backlight,green,,,,,
,,Blacklight,hotpink,,,,,
,,god rays,cyan,,,,,
,,beautiful studio soft light,gold,,,,,
,,rim light,gray,,,,,
,,,CYMK,,,,,
,,,citrus,,,,,
,,,coquelicot,,,,,
,,,beige,,,,,
,,,blue,,,,,
,,,brown,,,,,
,,,amber,,,,,
,,,baby blue,,,,,
,,,baby pink,,,,,
,,,psychedelic,,,,,
,,,vivid color,,,,,
,,,iridescent gold,,,,,
,,,silver,,,,,
,,,vintage,,,,,
